#,Тип публикации,Подкласс,Класс,OpenAlex,CrossRef,PubMed,Semantic Scholar
1,Peer Review,Peer Review,PEER,peer-review,peer-review,—,—
94,"Formulary, Hospital",Reference & Encyclopedic,REV,—,—,"Formulary, Hospital",—
95,Dispensatory,Reference & Encyclopedic,REV,—,—,Dispensatory,—
96,Herbal,Reference & Encyclopedic,REV,—,—,Herbal,—
97,Guideline,Guidelines & Consensus,REV,—,—,Guideline,—
98,Practice Guideline,Guidelines & Consensus,REV,—,—,Practice Guideline,—
99,Consensus Development Conference,Guidelines & Consensus,REV,—,—,Consensus Development Conference,—
100,"Consensus Development Conference, NIH",Guidelines & Consensus,REV,—,—,"Consensus Development Conference, NIH",—
101,Standard,Standards,REV,standard,standard,—,—
102,Paratext,Journal / Proceedings Infrastructure,REV,paratext,—,—,—
103,Libguides,Journal / Proceedings Infrastructure,REV,libguides,—,—,—
104,Journal (container),Journal / Proceedings Infrastructure,REV,—,journal,—,—
105,Journal Issue,Journal / Proceedings Infrastructure,REV,—,journal-issue,—,—
106,Journal Volume,Journal / Proceedings Infrastructure,REV,—,journal-volume,—,—
107,Proceedings (container),Journal / Proceedings Infrastructure,REV,—,proceedings,—,—
108,Proceedings Series,Journal / Proceedings Infrastructure,REV,—,proceedings-series,—,—
109,Report Series,Journal / Proceedings Infrastructure,REV,—,report-series,—,—
110,Periodical,Journal / Proceedings Infrastructure,REV,—,—,Periodical,—
111,Periodical Index,Journal / Proceedings Infrastructure,REV,—,—,Periodical Index,—
112,Grant,Grants & Funding,REV,grant,grant,—,—
113,"Research Support, ARRA",Grants & Funding,REV,—,—,"Research Support, American Recovery and Reinvestment Act",—
114,"Research Support, NIH Extramural",Grants & Funding,REV,—,—,"Research Support, N.I.H., Extramural",—
115,"Research Support, NIH Intramural",Grants & Funding,REV,—,—,"Research Support, N.I.H., Intramural",—
116,"Research Support, Non-U.S. Gov't",Grants & Funding,REV,—,—,"Research Support, Non-U.S. Gov't",—
117,"Research Support, U.S. Gov't Non-PHS",Grants & Funding,REV,—,—,"Research Support, U.S. Gov't, Non-P.H.S.",—
118,"Research Support, U.S. Gov't PHS",Grants & Funding,REV,—,—,"Research Support, U.S. Gov't, P.H.S.",—
119,"Research Support, U.S. Government",Grants & Funding,REV,—,—,"Research Support, U.S. Government",—
120,Support of Research,Grants & Funding,REV,—,—,Support of Research,—
121,Biography,Biographical & Historical,REV,—,—,Biography,—
122,Autobiography,Biographical & Historical,REV,—,—,Autobiography,—
123,Biobibliography,Biographical & Historical,REV,—,—,Biobibliography,—
124,Bibliography,Biographical & Historical,REV,—,—,Bibliography,—
125,Classical Article,Biographical & Historical,REV,—,—,Classical Article,—
126,Historical Article,Biographical & Historical,REV,—,—,Historical Article,—
127,Personal Narrative,Biographical & Historical,REV,—,—,Personal Narrative,—
128,Eulogy,Biographical & Historical,REV,—,—,Eulogy,—
129,Portrait,Biographical & Historical,REV,—,—,Portrait,—
130,Diary,Biographical & Historical,REV,—,—,Diary,—
131,Collected Correspondence,Biographical & Historical,REV,—,—,Collected Correspondence,—
132,Textbook,Educational & Instructional,REV,—,—,Textbook,—
133,Handbook,Educational & Instructional,REV,—,—,Handbook,—
134,Laboratory Manual,Educational & Instructional,REV,—,—,Laboratory Manual,—
135,Study Guide,Educational & Instructional,REV,—,—,Study Guide,—
136,Resource Guide,Educational & Instructional,REV,—,—,Resource Guide,—
137,Guidebook,Educational & Instructional,REV,—,—,Guidebook,—
138,Lecture,Educational & Instructional,REV,—,—,Lecture,—
139,Lecture Note,Educational & Instructional,REV,—,—,Lecture Note,—
140,Nurses Instruction,Educational & Instructional,REV,—,—,Nurses Instruction,—
141,Patient Education Handout,Educational & Instructional,REV,—,—,Patient Education Handout,—
142,Interactive Tutorial,Educational & Instructional,REV,—,—,Interactive Tutorial,—
143,Programmed Instruction,Educational & Instructional,REV,—,—,Programmed Instruction,—
144,Examination Questions,Educational & Instructional,REV,—,—,Examination Questions,—
145,Problems and Exercises,Educational & Instructional,REV,—,—,Problems and Exercises,—
146,Cookbook,Educational & Instructional,REV,—,—,Cookbook,—
147,Photograph,Visual / Media,REV,—,—,Photograph,—
148,Drawing,Visual / Media,REV,—,—,Drawing,—
149,Pictorial Work,Visual / Media,REV,—,—,Pictorial Work,—
150,Caricature,Visual / Media,REV,—,—,Caricature,—
151,Cartoon,Visual / Media,REV,—,—,Cartoon,—
152,Graphic Novel,Visual / Media,REV,—,—,Graphic Novel,—
153,Map,Visual / Media,REV,—,—,Map,—
154,Poster,Visual / Media,REV,—,—,Poster,—
155,Postcard,Visual / Media,REV,—,—,Postcard,—
156,Bookplate,Visual / Media,REV,—,—,Bookplate,—
157,Broadside,Visual / Media,REV,—,—,Broadside,—
158,Architectural Drawing,Visual / Media,REV,—,—,Architectural Drawing,—
159,Animation,Visual / Media,REV,—,—,Animation,—
160,Documentaries and Factual Films,Visual / Media,REV,—,—,Documentaries and Factual Films,—
161,Instructional Film and Video,Visual / Media,REV,—,—,Instructional Film and Video,—
162,Unedited Footage,Visual / Media,REV,—,—,Unedited Footage,—
163,Video-Audio Media,Visual / Media,REV,—,—,Video-Audio Media,—
164,Essay,Literary / Miscellaneous,REV,—,—,Essay,—
165,Poetry,Literary / Miscellaneous,REV,—,—,Poetry,—
166,Fictional Work,Literary / Miscellaneous,REV,—,—,Fictional Work,—
167,Juvenile Literature,Literary / Miscellaneous,REV,—,—,Juvenile Literature,—
168,Wit and Humor,Literary / Miscellaneous,REV,—,—,Wit and Humor,—
169,Anecdotes,Literary / Miscellaneous,REV,—,—,Anecdotes,—
170,Aphorisms and Proverbs,Literary / Miscellaneous,REV,—,—,Aphorisms and Proverbs,—
171,Phrases,Literary / Miscellaneous,REV,—,—,Phrases,—
172,Sermon,Literary / Miscellaneous,REV,—,—,Sermon,—
173,Funeral Sermon,Literary / Miscellaneous,REV,—,—,Funeral Sermon,—
174,Movable Books,Literary / Miscellaneous,REV,—,—,Movable Books,—
175,Catalog,Administrative / Catalogs / Legal,REV,—,—,Catalog,—
176,"Catalog, Bookseller",Administrative / Catalogs / Legal,REV,—,—,"Catalog, Bookseller",—
177,"Catalog, Commercial",Administrative / Catalogs / Legal,REV,—,—,"Catalog, Commercial",—
178,"Catalog, Drug",Administrative / Catalogs / Legal,REV,—,—,"Catalog, Drug",—
179,"Catalog, Publisher",Administrative / Catalogs / Legal,REV,—,—,"Catalog, Publisher",—
180,"Catalog, Union",Administrative / Catalogs / Legal,REV,—,—,"Catalog, Union",—
181,Directory,Administrative / Catalogs / Legal,REV,—,—,Directory,—
182,Index,Administrative / Catalogs / Legal,REV,—,—,Index,—
183,Union List,Administrative / Catalogs / Legal,REV,—,—,Union List,—
184,Price List,Administrative / Catalogs / Legal,REV,—,—,Price List,—
185,Legal Case,Administrative / Catalogs / Legal,REV,—,—,Legal Case,—
186,Legislation,Administrative / Catalogs / Legal,REV,—,—,Legislation,—
187,Government Publication,Administrative / Catalogs / Legal,REV,—,—,Government Publication,—
188,Public Service Announcement,Administrative / Catalogs / Legal,REV,—,—,Public Service Announcement,—
189,Advertisement,Administrative / Catalogs / Legal,REV,—,—,Advertisement,—
190,Prospectus,Administrative / Catalogs / Legal,REV,—,—,Prospectus,—
191,Other,Format / Meta-types,REV,other,other,—,—
192,Abbreviations,Format / Meta-types,REV,—,—,Abbreviations,—
193,Abstracts,Format / Meta-types,REV,—,—,Abstracts,—
194,English Abstract,Format / Meta-types,REV,—,—,English Abstract,—
195,Chart,Format / Meta-types,REV,—,—,Chart,—
196,Chronology,Format / Meta-types,REV,—,—,Chronology,—
197,Tables,Format / Meta-types,REV,—,—,Tables,—
198,Form,Format / Meta-types,REV,—,—,Form,—
199,Outline,Format / Meta-types,REV,—,—,Outline,—
200,Almanac,Format / Meta-types,REV,—,—,Almanac,—
201,Calendar,Format / Meta-types,REV,—,—,Calendar,—
202,Ephemera,Format / Meta-types,REV,—,—,Ephemera,—
203,Program,Format / Meta-types,REV,—,—,Program,—
204,Manuscript,Format / Meta-types,REV,—,—,Manuscript,—
205,"Manuscript, Medical",Format / Meta-types,REV,—,—,"Manuscript, Medical",—
206,Incunabula,Format / Meta-types,REV,—,—,Incunabula,—
207,Unpublished Work,Format / Meta-types,REV,—,—,Unpublished Work,—
208,Web Archive,Format / Meta-types,REV,—,—,Web Archive,—
209,Account Book,Format / Meta-types,REV,—,—,Account Book,—
210,Overall,Format / Meta-types,REV,—,—,Overall,—
211,Publication Components,Format / Meta-types,REV,—,—,Publication Components,—
212,Publication Formats,Format / Meta-types,REV,—,—,Publication Formats,—
213,Study Characteristics,Format / Meta-types,REV,—,—,Study Characteristics,—
214,Exhibition,Format / Meta-types,REV,—,—,Exhibition,—
